transaction ID,transaction
Trans1,"The Great Gatsby, War and Peace, Pride and Prejudice "
Trans2,"The Catcher in the Rye, War and Peace"
Trans3,"The Great Gatsby, Pride and Prejudice"
Trans4,"Moby Dick, War and Peace, 1984, To Kill a Mockingbird"
Trans5,"The Great Gatsby, To Kill a Mockingbird, 1984, The Catcher in the Rye"
Trans6,"1984, To Kill a Mockingbird"
Trans7,"The Great Gatsby, Moby Dick, The Catcher in the Rye, Pride and Prejudice"
Trans8,"Moby Dick, The Great Gatsby, 1984"
Trans9,"Pride and Prejudice, The Great Gatsby"
Trans10,"To Kill a Mockingbird, 1984, War and Peace, Moby Dick"
Trans11,"To Kill a Mockingbird, The Great Gatsby, War and Peace, The Catcher in the Rye"
Trans12,"Moby Dick, The Catcher in the Rye, The Great Gatsby"
Trans13,"Pride and Prejudice, War and Peace, 1984, Moby Dick"
Trans14,"To Kill a Mockingbird, 1984, The Catcher in the Rye, War and Peace"
Trans15,"War and Peace, The Great Gatsby, To Kill a Mockingbird"
Trans16,"The Great Gatsby, Moby Dick, 1984, War and Peace"
Trans17,"War and Peace, Moby Dick, To Kill a Mockingbird"
Trans18,"To Kill a Mockingbird, 1984"
Trans19,"1984, The Great Gatsby, The Catcher in the Rye, War and Peace, Moby Dick"
Trans20,"1984, To Kill a Mockingbird, Pride and Prejudice, War and Peace, The Catcher in the Rye"
