transaction ID,transaction
Trans1,"Red, Yellow"
Trans2,"Green, Blue, Yellow, Red"
Trans3,"Red, Yellow, Green, Blue"
Trans4,"Orange, Black, Yellow, Red, Green"
Trans5,"Red, Green, Orange, White, Blue"
Trans6,"Red, Black"
Trans7,"White, Black, Red, Green"
Trans8,"Red, Orange, Blue, Yellow, White"
Trans9,"Green, Red, Black, White, Yellow"
Trans10,"Yellow, Green, Orange"
Trans11,"White, Yellow, Blue, Orange, Black"
Trans12,"Yellow, Green, Orange, Black "
Trans13,"Black, Green"
Trans14,"Red, Black, Blue, Orange"
Trans15,"White, Green, Yellow"
Trans16,"Green, White, Yellow, Black, Red"
Trans17,"Black, Green"
Trans18,"White, Blue"
Trans19,"Black, Yellow, Blue, Orange"
Trans20,"Red, White, Yellow, Black, Orange"
