transaction ID,transaction
Trans1,"Volleyball, Cricket"
Trans2,"Volleyball, Football, Basketball, Tennis"
Trans3,"Cricket, Volleyball"
Trans4,"Volleyball, Badminton, Tennis"
Trans5,"Tennis, Badminton, Hockey"
Trans6,"Cricket, Football, Basketball"
Trans7,"Cricket, Basketball, Volleyball, Badminton"
Trans8,"Football, Badminton, Hockey, Cricket, Tennis"
Trans9,"Hockey, Basketball, Badminton, Tennis, Cricket"
Trans10,"Cricket, Basketball, Volleyball, Football, Badminton"
Trans11,"Football, Cricket"
Trans12,"Hockey, Volleyball, Football"
Trans13,"Basketball, Tennis, Volleyball, Hockey, Cricket"
Trans14,"Hockey, Football, Volleyball"
Trans15,"Volleyball, Hockey, Tennis, Basketball, Football"
Trans16,"Tennis, Football, Hockey, Volleyball"
Trans17,"Hockey, Tennis, Badminton, Football"
Trans18,"Badminton, Hockey, Tennis, Football"
Trans19,"Football, Tennis, Volleyball, Badminton"
Trans20,"Basketball, Badminton"
