transaction ID,transaction
Trans1,"Oak, Pine, Maple, Birch"
Trans2,"Pine, Oak, Birch, Cedar"
Trans3,"Cedar, Redwood, Pine, Birch"
Trans4,"Redwood, Ash, Birch, Pine"
Trans5,"Maple, Cedar, Birch, Pine"
Trans6,"Ash, Birch, Pine, Oak"
Trans7,"Oak, Birch, Maple, Cedar"
Trans8,"Pine, Cedar, Birch"
Trans9,"Maple, Oak, Birch, Cedar"
Trans10,"Ash, Redwood, Oak, Birch"
Trans11,"Pine, Oak, Cedar, Ash"
Trans12,"Maple, Redwood, Oak, Birch"
Trans13,"Ash, Cedar, Oak"
Trans14,"Redwood, Oak, Maple, Birch"
Trans15,"Birch, Cedar, Oak, Pine"
Trans16,"Ash, Oak, Pine, Birch"
Trans17,"Redwood, Birch, Cedar, Pine"
Trans18,"Oak, Birch, Cedar, Maple"
Trans19,"Ash, Redwood, Oak, Pine"
Trans20,"Birch, Oak, Redwood, Cedar"
